Common_name ,Scientific_name ,taxa_group,taxa_phyla,taxa_class,Light_Level,Method,Mean_CFF_hz,Max_CFF_Hz,length_mm,Bodymass(g),Temp_max,Habitat,mode_of_life,mode_of-life_old,Eyes_removed,Notes,
American_red_squirrel,Tamiasciurus_hudsonicus,vert,mammalia,rodent,high,ERG,,65,,215,,arboreal,herbivore,scavenger,,,
Tautog,Tautoga_onitis,vert,fish,fish,high,ERG,,48,910,11300,22,marine_reef,pred_forage,,,,
Yellowfin_tuna ,Thunnus_albacares,vert,fish,fish,high,ERG,73,80,,45349,26,pelagic,pred_pursuit,,,,
Bigeye_tuna,Thunnus_obesus,vert,fish,fish,low,ERG,,37,1250,210000,27,pelagic,pred_pursuit,predator?,,,
brushtail_possum,Trichosurus_vulpecula,vert,mammalia,marsupial,low,Beh,22.4,,,3000,,arboreal,pred_forage,,,,
tree_shrew,Tupaia_belangeri,vert,mammalia,shrew,high,Beh,60,70,410,270,,arboreal,herbivore,scavenger,,,
common_treeshrew,Tupaia_glis,vert,mammalia,shrew,high,Beh,,90,,142,,arboreal,herbivore,,,,
red_white_cleaner_shrimp,Urocaridella_antonbruunii,invert,arthropod,crustacean,high,ERG,,40,,,24,marine_reef,scavenger,,,no size,
Xenos_peckii,Xenos_peckii,invert,arthropod,insect,high,ERG,35,35,,0.00102,,volant,parasite,volant,,,
swordfish,Xiphias_gladius,vert,fish,fish,high,ERG,22,40,1600,550000,22,pelagic,pred_pursuit,predator,yes ,,
green_swordtail,Xiphophorus_helleri,vert,fish,fish,high,ERG,42,42,28,,21.5,benthopelagic,pred_forage,scavenger,,no size,
