,taxa_group,taxa_phyla,taxa_class,Light_Level_old,Light_Level,Method,Max_CFF_Hz,Bodymass.g.,Habitat,mode_of_life,animal
Iguana_iguana,vert,reptile,rodent,high,high,ERG,80,750,arboreal,pred_ballistic,Iguana_iguana
Thunnus_albacares,vert,fish,fish,high,high,ERG,80,45349,pelagic,pred_pursuit,Thunnus_albacares
Saturnia_pavonia,invert,arthropod,insect,low,low,ERG,85,0.34,volant,herbivore,Saturnia_pavonia
Gallus_gallus,vert,aves,aves,high,high,Beh,87,2710,terrestrial,herbivore,Gallus_gallus
Locustaevora_migratoriae,invert,arthropod,insect,low,high,ERG,90,1,volant,herbivore,Locustaevora_migratoriae
Tupaia_glis,vert,mammalia,shrew,high,high,Beh,90,142,arboreal,herbivore,Tupaia_glis
Macaca_mulatta,vert,mammalia,primate,high,high,Beh,95,7710,terrestrial,herbivore,Macaca_mulatta
Salmo_salar,vert,fish,fish,high,high,ERG,96,35000,benthopelagic,pred_ballistic,Salmo_salar
Drosophila_hydei,invert,arthropod,insect,low,high,ERG,100,0.00102,volant,scavenger,Drosophila_hydei
Rhynchophorus_ferrugineus,invert,arthropod,insect,high,high,ERG,100,1.8,volant,herbivore,Rhynchophorus_ferrugineus
Sturnus_vulgaris,vert,aves,aves,high,high,ERG,100,75,volant,herbivore,Sturnus_vulgaris
Spermophilus_lateralis,vert,mammalia,rodent,high,high,ERG,108,215.5,terrestrial,herbivore,Spermophilus_lateralis
Ligia_occidentalis,invert,arthropod,crustacean,high,high,ERG,120,1,demersal,scavenger,Ligia_occidentalis
Parus_caeruleus,vert,aves,aves,high,high,Beh,131,10,volant,pred_forage,Parus_caeruleus
Ficedula_albicollis,vert,aves,aves,high,high,Beh,141,13,volant,pred_pursuit,Ficedula_albicollis
Columba_livia,vert,aves,aves,high,high,ERG,143,315,volant,herbivore,Columba_livia
Ficedula_hypoleuca,vert,aves,aves,high,high,Beh,146,13,volant,pred_pursuit,Ficedula_hypoleuca
Alpheus_heterochaelis,invert,arthropod,crustacean,high,high,ERG,200,1,marine_reef,pred_ballistic,Alpheus_heterochaelis
Chrysomya_megacephala,invert,arthropod,insect,high,high,ERG,300,0.00915,volant,scavenger,Chrysomya_megacephala
Melanophila_acuminata,invert,arthropod,insect,high,high,ERG,300,0.02116,volant,pred_forage,Melanophila_acuminata
Apis_mellifera_mellifera,invert,arthropod,insect,high,high,ERG,300,0.0268,volant,herbivore,Apis_mellifera_mellifera
Sympetrum_flaveolum,invert,arthropod,insect,high,high,ERG,300,0.72,volant,pred_pursuit,Sympetrum_flaveolum
